Jun 03, 2016 	1.1830 	1.1803 	1.1846 	1.1726 	0.22%
May 13, 2015 	1.2496 	1.2488 	1.2521 	1.2476 	0.06%
May 12, 2015 	1.2488 	1.2488 	1.2514 	1.2472 	0.00%
May 11, 2015 	1.2488 	1.2476 	1.2499 	1.2407 	-0.03%
May 08, 2015 	1.2492 	1.2492 	1.2525 	1.2468 	0.00%
May 07, 2015 	1.2492 	1.2502 	1.2516 	1.2477 	-0.08%
May 06, 2015 	1.2502 	1.2496 	1.2528 	1.2476 	0.05%
May 05, 2015 	1.2496 	1.2486 	1.2507 	1.2456 	0.07%
May 04, 2015 	1.2487 	1.2464 	1.2499 	1.2452 	0.09%
May 01, 2015 	1.2476 	1.2488 	1.2574 	1.2453 	-0.13%
Apr 30, 2015 	1.2492 	1.2504 	1.2519 	1.2448 	-0.10%
Apr 29, 2015 	1.2504 	1.2492 	1.2533 	1.2459 	0.10%
Apr 28, 2015 	1.2492 	1.2466 	1.2508 	1.2459 	0.21%
Apr 27, 2015 	1.2466 	1.2497 	1.2519 	1.2442 	-0.42%
Apr 24, 2015 	1.2518 	1.2503 	1.2532 	1.2481 	0.10%
Apr 23, 2015 	1.2506 	1.2512 	1.2523 	1.2452 	-0.05%
Apr 22, 2015 	1.2512 	1.2502 	1.2525 	1.2487 	0.08%
Apr 21, 2015 	1.2502 	1.2498 	1.2524 	1.2472 	0.00%
Apr 20, 2015 	1.2502 	1.2510 	1.2530 	1.2461 	-0.08%
Apr 17, 2015 	1.2512 	1.2513 	1.2529 	1.2465 	0.02%
Apr 16, 2015 	1.2509 	1.2494 	1.2525 	1.2438 	0.11%
Apr 15, 2015 	1.2495 	1.2481 	1.2584 	1.2388 	0.11%
Apr 14, 2015 	1.2481 	1.2467 	1.2502 	1.2452 	0.11%
Apr 13, 2015 	1.2467 	1.2485 	1.2664 	1.2450 	-0.10%
Apr 10, 2015 	1.2479 	1.2493 	1.2530 	1.2468 	-0.11%
Apr 09, 2015 	1.2493 	1.2492 	1.2522 	1.2475 	0.01%
Apr 08, 2015 	1.2492 	1.2508 	1.2535 	1.2474 	-0.13%
Apr 07, 2015 	1.2508 	1.2566 	1.2590 	1.2498 	-0.46%
Apr 06, 2015 	1.2566 	1.2642 	1.2683 	1.2545 	-0.37%
Apr 03, 2015 	1.2613 	1.2492 	1.2672 	1.2487 	0.97%
Apr 02, 2015 	1.2492 	1.2512 	1.2530 	1.2483 	-0.16%
Apr 01, 2015 	1.2512 	1.2504 	1.2532 	1.2483 	0.06%
Mar 31, 2015 	1.2504 	1.2492 	1.2525 	1.2481 	0.10%
Mar 30, 2015 	1.2492 	1.2468 	1.2506 	1.2437 	0.13%
Mar 27, 2015 	1.2476 	1.2490 	1.2520 	1.2451 	-0.11%
Mar 26, 2015 	1.2490 	1.2481 	1.2542 	1.2466 	0.07%
Mar 25, 2015 	1.2481 	1.2494 	1.2510 	1.2459 	-0.10%
Mar 24, 2015 	1.2494 	1.2481 	1.2512 	1.2469 	0.10%
Mar 23, 2015 	1.2481 	1.2510 	1.2516 	1.2458 	-0.17%
Mar 20, 2015 	1.2502 	1.2526 	1.2556 	1.2471 	-0.17%
Mar 19, 2015 	1.2523 	1.2455 	1.2540 	1.2440 	0.55%
Mar 18, 2015 	1.2455 	1.2420 	1.2554 	1.2128 	0.27%
Mar 17, 2015 	1.2421 	1.2397 	1.2436 	1.2388 	0.19%
Mar 16, 2015 	1.2397 	1.2398 	1.2572 	1.2387 	-0.10%
Mar 13, 2015 	1.2409 	1.2399 	1.2448 	1.2388 	0.09%
Mar 12, 2015 	1.2398 	1.2406 	1.2418 	1.2380 	-0.06%
Mar 11, 2015 	1.2406 	1.2386 	1.2447 	1.2376 	0.16%
Mar 10, 2015 	1.2386 	1.2388 	1.2419 	1.2376 	0.02%
Mar 09, 2015 	1.2383 	1.2385 	1.2398 	1.2375 	0.01%
Mar 06, 2015 	1.2382 	1.2377 	1.2406 	1.2367 	0.04%
Mar 05, 2015 	1.2377 	1.2362 	1.2393 	1.2357 	0.12%
Mar 04, 2015 	1.2362 	1.2362 	1.2380 	1.2354 	0.00%
Mar 03, 2015 	1.2362 	1.2355 	1.2390 	1.2346 	0.06%
Mar 02, 2015 	1.2355 	1.2333 	1.2377 	1.2333 	-0.20%
Feb 27, 2015 	1.2380 	1.2387 	1.2398 	1.2357 	-0.07%
Feb 26, 2015 	1.2389 	1.2394 	1.2418 	1.2376 	-0.05%
Feb 25, 2015 	1.2395 	1.2415 	1.2453 	1.2378 	-0.15%
Feb 24, 2015 	1.2414 	1.2395 	1.2430 	1.2362 	0.16%
Feb 23, 2015 	1.2394 	1.2403 	1.2421 	1.2382 	-0.09%
Feb 20, 2015 	1.2405 	1.2402 	1.2422 	1.2358 	0.02%
Feb 19, 2015 	1.2402 	1.2405 	1.2415 	1.2376 	-0.02%
Feb 18, 2015 	1.2405 	1.2399 	1.2444 	1.2390 	0.05%
Feb 17, 2015 	1.2399 	1.2419 	1.2428 	1.2376 	-0.15%
Feb 16, 2015 	1.2418 	1.2440 	1.2473 	1.2404 	-0.08%
Feb 13, 2015 	1.2428 	1.2412 	1.2439 	1.2408 	0.14%
Feb 12, 2015 	1.2411 	1.2416 	1.2444 	1.2403 	-0.06%
Feb 11, 2015 	1.2418 	1.2428 	1.2442 	1.2408 	-0.09%
Feb 10, 2015 	1.2429 	1.2407 	1.2438 	1.2406 	0.18%
Feb 09, 2015 	1.2407 	1.2412 	1.2441 	1.2386 	-0.06%
Feb 06, 2015 	1.2414 	1.2395 	1.2432 	1.2390 	0.15%
Feb 05, 2015 	1.2396 	1.2408 	1.2418 	1.2334 	-0.10%
Feb 04, 2015 	1.2408 	1.2386 	1.2435 	1.2383 	0.18%
Feb 03, 2015 	1.2386 	1.2387 	1.2406 	1.2345 	0.06%
Feb 02, 2015 	1.2379 	1.2422 	1.2608 	1.2372 	-0.19%
Jan 30, 2015 	1.2402 	1.2410 	1.2420 	1.2385 	-0.08%
Jan 29, 2015 	1.2412 	1.2408 	1.2439 	1.2393 	0.01%
Jan 28, 2015 	1.2411 	1.2424 	1.2463 	1.2387 	-0.11%
Jan 27, 2015 	1.2425 	1.2394 	1.2444 	1.2384 	0.23%
Jan 26, 2015 	1.2397 	1.2365 	1.2463 	1.2365 	-0.34%
Jan 23, 2015 	1.2439 	1.2490 	1.2519 	1.2421 	-0.38%
Jan 22, 2015 	1.2487 	1.2484 	1.2519 	1.2459 	0.06%
Jan 21, 2015 	1.2479 	1.2472 	1.2659 	1.2459 	0.05%
Jan 20, 2015 	1.2473 	1.2469 	1.2490 	1.2453 	0.04%
Jan 19, 2015 	1.2468 	1.2481 	1.2493 	1.2453 	-0.13%
Jan 16, 2015 	1.2484 	1.2533 	1.2537 	1.2437 	-0.39%
Jan 15, 2015 	1.2533 	1.2514 	1.2591 	1.2408 	0.15%
Jan 14, 2015 	1.2514 	1.2516 	1.2539 	1.2500 	-0.02%
Jan 13, 2015 	1.2516 	1.2493 	1.2528 	1.2488 	0.19%
Jan 12, 2015 	1.2492 	1.2525 	1.2527 	1.2484 	-0.02%
Jan 09, 2015 	1.2495 	1.2481 	1.2510 	1.2464 	0.10%
Jan 08, 2015 	1.2483 	1.2480 	1.2501 	1.2460 	0.02%
Jan 07, 2015 	1.2481 	1.2493 	1.2502 	1.2448 	-0.11%
Jan 06, 2015 	1.2495 	1.2467 	1.2518 	1.2460 	0.22%
Jan 05, 2015 	1.2467 	1.2445 	1.2488 	1.2419 	-0.25%
Jan 02, 2015 	1.2498 	1.2487 	1.2671 	1.2444 	0.03%
Dec 31, 2014 	1.2494 	1.2505 	1.2532 	1.2487 	-0.10%
Dec 30, 2014 	1.2507 	1.2468 	1.2533 	1.2441 	0.32%
Dec 29, 2014 	1.2467 	1.2454 	1.2503 	1.2454 	0.02%
Dec 26, 2014 	1.2464 	1.2490 	1.2504 	1.2450 	-0.22%
Dec 25, 2014 	1.2491 	1.2528 	1.2539 	1.2480 	-0.03%
Dec 24, 2014 	1.2495 	1.2458 	1.2500 	1.2446 	0.30%
Dec 23, 2014 	1.2458 	1.2467 	1.2472 	1.2445 	-0.07%
Dec 22, 2014 	1.2467 	1.2458 	1.2665 	1.2456 	0.05%
Dec 19, 2014 	1.2461 	1.2483 	1.2483 	1.2446 	-0.18%
Dec 18, 2014 	1.2484 	1.2515 	1.2525 	1.2458 	-0.24%
Dec 17, 2014 	1.2514 	1.2532 	1.2577 	1.2481 	-0.14%
Dec 16, 2014 	1.2532 	1.2518 	1.2543 	1.2504 	0.09%
Dec 15, 2014 	1.2521 	1.2536 	1.2564 	1.2509 	-0.10%
Dec 12, 2014 	1.2534 	1.2528 	1.2565 	1.2508 	0.05%
Dec 11, 2014 	1.2528 	1.2548 	1.2565 	1.2512 	-0.28%
Dec 10, 2014 	1.2563 	1.2527 	1.2568 	1.2508 	0.29%
Dec 09, 2014 	1.2527 	1.2552 	1.2561 	1.2487 	-0.19%
Dec 08, 2014 	1.2551 	1.2612 	1.2617 	1.2510 	-0.42%
Dec 05, 2014 	1.2604 	1.2594 	1.2631 	1.2586 	0.08%
Dec 04, 2014 	1.2594 	1.2609 	1.2664 	1.2556 	-0.13%
Dec 03, 2014 	1.2610 	1.2611 	1.2643 	1.2589 	0.00%
Dec 02, 2014 	1.2610 	1.2605 	1.2649 	1.2588 	0.04%
Dec 01, 2014 	1.2605 	1.2602 	1.2637 	1.2590 	-0.20%
Nov 28, 2014 	1.2630 	1.2627 	1.2653 	1.2605 	0.02%
Nov 27, 2014 	1.2627 	1.2630 	1.2650 	1.2617 	-0.02%
Nov 26, 2014 	1.2630 	1.2641 	1.2695 	1.2618 	-0.09%
Nov 25, 2014 	1.2641 	1.2627 	1.2672 	1.2620 	0.11%
Nov 24, 2014 	1.2627 	1.2647 	1.2672 	1.2613 	-0.32%
Nov 21, 2014 	1.2668 	1.2669 	1.2686 	1.2636 	-0.01%
Nov 20, 2014 	1.2669 	1.2670 	1.2677 	1.2625 	-0.02%
Nov 19, 2014 	1.2671 	1.2668 	1.2686 	1.2625 	0.04%
Nov 18, 2014 	1.2666 	1.2668 	1.2678 	1.2615 	0.01%
Nov 17, 2014 	1.2665 	1.2707 	1.2734 	1.2584 	0.12%
Nov 14, 2014 	1.2650 	1.2662 	1.2667 	1.2600 	-0.09%
Nov 13, 2014 	1.2662 	1.2658 	1.2676 	1.2623 	0.02%
Nov 12, 2014 	1.2659 	1.2667 	1.2691 	1.2592 	-0.06%
Nov 11, 2014 	1.2666 	1.2675 	1.2689 	1.2626 	-0.05%
Nov 10, 2014 	1.2672 	1.2654 	1.2685 	1.2571 	0.09%
Nov 07, 2014 	1.2660 	1.2687 	1.2694 	1.2625 	-0.21%
Nov 06, 2014 	1.2687 	1.2681 	1.2833 	1.2450 	0.06%
Nov 05, 2014 	1.2679 	1.2676 	1.2694 	1.2607 	0.02%
Nov 04, 2014 	1.2676 	1.2674 	1.2690 	1.2632 	0.01%
Nov 03, 2014 	1.2675 	1.2541 	1.2692 	1.2481 	-0.07%
Oct 31, 2014 	1.2684 	1.2684 	1.2703 	1.2637 	-0.02%
Oct 30, 2014 	1.2687 	1.2684 	1.2695 	1.2672 	0.03%
Oct 29, 2014 	1.2683 	1.2690 	1.2705 	1.2532 	-0.06%
Oct 28, 2014 	1.2690 	1.2684 	1.2700 	1.2652 	0.06%
Oct 27, 2014 	1.2683 	1.2644 	1.2697 	1.2643 	0.01%
Oct 24, 2014 	1.2682 	1.2676 	1.2692 	1.2668 	0.05%
Oct 23, 2014 	1.2676 	1.2675 	1.2696 	1.2600 	0.02%
Oct 22, 2014 	1.2673 	1.2673 	1.2693 	1.2644 	-0.01%
Oct 21, 2014 	1.2674 	1.2666 	1.2688 	1.2585 	0.06%
Oct 20, 2014 	1.2667 	1.2657 	1.2680 	1.2576 	-0.02%
Oct 17, 2014 	1.2669 	1.2663 	1.2707 	1.2633 	0.06%
Oct 16, 2014 	1.2662 	1.2660 	1.2701 	1.2639 	-0.01%
Oct 15, 2014 	1.2663 	1.2669 	1.2805 	1.2618 	-0.01%
Oct 14, 2014 	1.2664 	1.2664 	1.2676 	1.2630 	0.00%
Oct 13, 2014 	1.2664 	1.2590 	1.2732 	1.2588 	0.01%
Oct 10, 2014 	1.2663 	1.2653 	1.2677 	1.2617 	0.10%
Oct 09, 2014 	1.2650 	1.2636 	1.2672 	1.2547 	0.10%
Oct 08, 2014 	1.2637 	1.2630 	1.2675 	1.2572 	0.06%
Oct 07, 2014 	1.2630 	1.2630 	1.2682 	1.2576 	0.04%
Oct 06, 2014 	1.2625 	1.2506 	1.2649 	1.2505 	-0.14%
Oct 03, 2014 	1.2643 	1.2644 	1.2672 	1.2584 	-0.02%
Oct 02, 2014 	1.2645 	1.2649 	1.2660 	1.2612 	-0.02%
Oct 01, 2014 	1.2647 	1.2650 	1.2662 	1.2609 	-0.01%
Sep 30, 2014 	1.2648 	1.2626 	1.2665 	1.2605 	0.16%
Sep 29, 2014 	1.2628 	1.2555 	1.2670 	1.2552 	-0.25%
Sep 26, 2014 	1.2660 	1.2636 	1.2672 	1.2604 	0.19%
Sep 25, 2014 	1.2636 	1.2634 	1.2647 	1.2607 	0.02%
Sep 24, 2014 	1.2633 	1.2634 	1.2646 	1.2548 	-0.02%
Sep 23, 2014 	1.2636 	1.2622 	1.2641 	1.2576 	0.10%
Sep 22, 2014 	1.2624 	1.2590 	1.2632 	1.2590 	0.04%
Sep 19, 2014 	1.2619 	1.2623 	1.2648 	1.2604 	-0.03%
Sep 18, 2014 	1.2623 	1.2627 	1.2651 	1.2608 	-0.08%
Sep 17, 2014 	1.2633 	1.2625 	1.2649 	1.2506 	0.06%
Sep 16, 2014 	1.2626 	1.2618 	1.2634 	1.2590 	0.06%
Sep 15, 2014 	1.2619 	1.2639 	1.2649 	1.2608 	-0.11%
Sep 12, 2014 	1.2633 	1.2642 	1.2650 	1.2608 	-0.07%
Sep 11, 2014 	1.2642 	1.2640 	1.2660 	1.2613 	0.01%
Sep 10, 2014 	1.2641 	1.2629 	1.2665 	1.2583 	0.07%
Sep 09, 2014 	1.2632 	1.2619 	1.2653 	1.2586 	0.11%
Sep 08, 2014 	1.2618 	1.2556 	1.2674 	1.2538 	-0.02%
Sep 05, 2014 	1.2621 	1.2625 	1.2654 	1.2610 	-0.04%
Sep 04, 2014 	1.2626 	1.2618 	1.2650 	1.2386 	0.06%
Sep 03, 2014 	1.2618 	1.2606 	1.2630 	1.2559 	0.10%
Sep 02, 2014 	1.2606 	1.2620 	1.2621 	1.2560 	-0.11%
Sep 01, 2014 	1.2620 	1.2603 	1.2632 	1.2566 	0.10%
Aug 29, 2014 	1.2608 	1.2614 	1.2629 	1.2567 	-0.06%
Aug 28, 2014 	1.2615 	1.2619 	1.2626 	1.2577 	0.00%
Aug 27, 2014 	1.2615 	1.2596 	1.2625 	1.2568 	0.16%
Aug 26, 2014 	1.2595 	1.2592 	1.2614 	1.2556 	0.02%
Aug 25, 2014 	1.2592 	1.2554 	1.2607 	1.2508 	-0.02%
Aug 22, 2014 	1.2595 	1.2596 	1.2614 	1.2576 	-0.01%
Aug 21, 2014 	1.2596 	1.2624 	1.2626 	1.2572 	-0.22%
Aug 20, 2014 	1.2624 	1.2621 	1.2648 	1.2588 	0.02%
Aug 19, 2014 	1.2622 	1.2614 	1.2635 	1.2564 	0.06%
Aug 18, 2014 	1.2614 	1.2608 	1.2625 	1.2597 	0.02%
Aug 15, 2014 	1.2611 	1.2597 	1.2618 	1.2579 	0.11%
Aug 14, 2014 	1.2597 	1.2596 	1.2609 	1.2587 	0.01%
Aug 13, 2014 	1.2596 	1.2587 	1.2627 	1.2573 	0.09%
Aug 12, 2014 	1.2585 	1.2595 	1.2608 	1.2577 	-0.08%
Aug 11, 2014 	1.2595 	1.2586 	1.2605 	1.2584 	0.02%
Aug 08, 2014 	1.2592 	1.2576 	1.2600 	1.2552 	0.13%
Aug 07, 2014 	1.2576 	1.2573 	1.2609 	1.2568 	0.02%
Aug 06, 2014 	1.2573 	1.2552 	1.2586 	1.2550 	0.17%
Aug 05, 2014 	1.2552 	1.2544 	1.2568 	1.2539 	0.06%
Aug 04, 2014 	1.2544 	1.2540 	1.2571 	1.2530 	0.00%
Aug 01, 2014 	1.2544 	1.2553 	1.2575 	1.2532 	-0.07%
Jul 31, 2014 	1.2553 	1.2558 	1.2570 	1.2544 	-0.04%
Jul 30, 2014 	1.2558 	1.2539 	1.2572 	1.2535 	0.15%
Jul 29, 2014 	1.2539 	1.2525 	1.2579 	1.2522 	0.11%
Jul 28, 2014 	1.2525 	1.2514 	1.2577 	1.2514 	0.07%
Jul 25, 2014 	1.2516 	1.2511 	1.2526 	1.2495 	0.04%
Jul 24, 2014 	1.2511 	1.2506 	1.2524 	1.2493 	0.04%
Jul 23, 2014 	1.2506 	1.2481 	1.2512 	1.2481 	0.20%
Jul 22, 2014 	1.2481 	1.2481 	1.2507 	1.2480 	-0.01%
Jul 21, 2014 	1.2482 	1.2492 	1.2510 	1.2477 	-0.04%
Jul 18, 2014 	1.2487 	1.2497 	1.2505 	1.2471 	-0.10%
Jul 17, 2014 	1.2500 	1.2492 	1.2505 	1.2485 	0.06%
Jul 16, 2014 	1.2492 	1.2483 	1.2501 	1.2445 	0.06%
Jul 15, 2014 	1.2484 	1.2489 	1.2496 	1.2470 	-0.04%
Jul 14, 2014 	1.2489 	1.2487 	1.2499 	1.2478 	-0.02%
Jul 11, 2014 	1.2492 	1.2496 	1.2498 	1.2479 	-0.03%
Jul 10, 2014 	1.2496 	1.2529 	1.2534 	1.2486 	-0.26%
Jul 09, 2014 	1.2529 	1.2498 	1.2529 	1.2489 	0.24%
Jul 08, 2014 	1.2499 	1.2490 	1.2506 	1.2483 	0.07%
Jul 07, 2014 	1.2490 	1.2488 	1.2504 	1.2485 	-0.02%
Jul 04, 2014 	1.2492 	1.2475 	1.2500 	1.2433 	0.12%
Jul 03, 2014 	1.2477 	1.2475 	1.2496 	1.2453 	0.02%
Jul 02, 2014 	1.2475 	1.2495 	1.2503 	1.2463 	-0.16%
Jul 01, 2014 	1.2495 	1.2492 	1.2533 	1.2485 	0.02%
Jun 30, 2014 	1.2492 	1.2461 	1.2508 	1.2460 	0.21%
Jun 27, 2014 	1.2466 	1.2455 	1.2474 	1.2452 	0.10%
Jun 26, 2014 	1.2453 	1.2433 	1.2464 	1.2430 	0.16%
Jun 25, 2014 	1.2433 	1.2440 	1.2444 	1.2420 	-0.05%
Jun 24, 2014 	1.2439 	1.2465 	1.2466 	1.2422 	-0.20%
Jun 23, 2014 	1.2464 	1.2452 	1.2471 	1.2439 	0.07%
Jun 20, 2014 	1.2455 	1.2442 	1.2462 	1.2427 	0.10%
Jun 19, 2014 	1.2443 	1.2438 	1.2459 	1.2432 	0.01%
Jun 18, 2014 	1.2442 	1.2450 	1.2452 	1.2432 	-0.06%
Jun 17, 2014 	1.2450 	1.2449 	1.2467 	1.2429 	0.02%
Jun 16, 2014 	1.2448 	1.2479 	1.2495 	1.2441 	-0.27%
Jun 13, 2014 	1.2482 	1.2467 	1.2504 	1.2463 	0.12%
Jun 12, 2014 	1.2467 	1.2448 	1.2477 	1.2434 	0.14%
Jun 11, 2014 	1.2449 	1.2453 	1.2458 	1.2437 	-0.02%
Jun 10, 2014 	1.2452 	1.2425 	1.2461 	1.2388 	0.22%
Jun 09, 2014 	1.2425 	1.2418 	1.2435 	1.2412 	0.19%
Jun 06, 2014 	1.2402 	1.2439 	1.2439 	1.2389 	-0.30%
Jun 05, 2014 	1.2439 	1.2405 	1.2443 	1.2372 	0.27%
Jun 04, 2014 	1.2405 	1.2397 	1.2422 	1.2389 	0.06%
Jun 03, 2014 	1.2397 	1.2410 	1.2415 	1.2387 	-0.10%
Jun 02, 2014 	1.2410 	1.2403 	1.2435 	1.2401 	0.02%
May 30, 2014 	1.2407 	1.2428 	1.2434 	1.2401 	-0.17%
May 29, 2014 	1.2428 	1.2400 	1.2437 	1.2371 	0.23%
May 28, 2014 	1.2400 	1.2396 	1.2413 	1.2378 	0.03%
May 27, 2014 	1.2396 	1.2435 	1.2441 	1.2391 	-0.32%
May 26, 2014 	1.2436 	1.2431 	1.2444 	1.2418 	0.01%
May 23, 2014 	1.2435 	1.2433 	1.2442 	1.2416 	0.02%
May 22, 2014 	1.2433 	1.2436 	1.2445 	1.2426 	-0.02%
May 21, 2014 	1.2435 	1.2430 	1.2445 	1.2414 	0.04%
May 20, 2014 	1.2430 	1.2430 	1.2437 	1.2419 	-0.01%
May 19, 2014 	1.2431 	1.2446 	1.2455 	1.2410 	-0.02%
May 16, 2014 	1.2434 	1.2444 	1.2497 	1.2427 	-0.08%
May 15, 2014 	1.2444 	1.2445 	1.2458 	1.2433 	-0.01%
May 14, 2014 	1.2445 	1.2445 	1.2457 	1.2432 	-0.01%
May 13, 2014 	1.2446 	1.2427 	1.2461 	1.2420 	0.14%
May 12, 2014 	1.2428 	1.2448 	1.2448 	1.2402 	-0.16%
May 09, 2014 	1.2448 	1.2447 	1.2462 	1.2348 	0.01%
May 08, 2014 	1.2447 	1.2434 	1.2463 	1.2413 	0.10%
May 07, 2014 	1.2434 	1.2452 	1.2466 	1.2424 	-0.14%
May 06, 2014 	1.2452 	1.2413 	1.2460 	1.2411 	0.31%
May 05, 2014 	1.2413 	1.2386 	1.2426 	1.2386 	0.21%
May 02, 2014 	1.2387 	1.2386 	1.2421 	1.2372 	0.00%
May 01, 2014 	1.2387 	1.2387 	1.2440 	1.2378 	0.01%
Apr 30, 2014 	1.2386 	1.2390 	1.2404 	1.2337 	-0.03%
Apr 29, 2014 	1.2390 	1.2398 	1.2406 	1.2378 	-0.06%
Apr 28, 2014 	1.2398 	1.2403 	1.2415 	1.2380 	0.00%
Apr 25, 2014 	1.2398 	1.2404 	1.2419 	1.2390 	-0.06%
Apr 24, 2014 	1.2405 	1.2428 	1.2434 	1.2400 	-0.19%
Apr 23, 2014 	1.2428 	1.2429 	1.2437 	1.2414 	-0.01%
Apr 22, 2014 	1.2429 	1.2447 	1.2448 	1.2412 	-0.14%
Apr 21, 2014 	1.2447 	1.2435 	1.2468 	1.2410 	0.11%
